temperature_2m,relative_humidity_2m,pressure_msl,precipitation,wind_speed_10m,wind_direction_10m,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,hour,day_of_week,day_of_month,month,is_weekend,aqi_lag_1,aqi_lag_3,aqi_lag_6,aqi_lag_12,aqi_lag_24,aqi_lag_48,aqi_lag_72,pm2_5_lag_1,pm2_5_lag_3,pm2_5_lag_6,pm2_5_lag_24,pm10_lag_1,pm10_lag_3,pm10_lag_6,pm10_lag_24,carbon_monoxide_lag_1,carbon_monoxide_lag_3,carbon_monoxide_lag_6,carbon_monoxide_lag_24,nitrogen_dioxide_lag_1,nitrogen_dioxide_lag_3,nitrogen_dioxide_lag_6,nitrogen_dioxide_lag_24,sulphur_dioxide_lag_1,sulphur_dioxide_lag_3,sulphur_dioxide_lag_6,sulphur_dioxide_lag_24,ozone_lag_1,ozone_lag_3,ozone_lag_6,ozone_lag_24,aqi_3h_mean,aqi_6h_mean,aqi_12h_mean,aqi_24h_mean,pm2_5_3h_mean,pm2_5_6h_mean,pm2_5_24h_mean,pm10_3h_mean,pm10_6h_mean,pm10_24h_mean,carbon_monoxide_24h_mean,nitrogen_dioxide_24h_mean,sulphur_dioxide_24h_mean,ozone_24h_mean,aqi_change_1h,aqi_change_3h,aqi_change_6h,aqi_change_24h,pm2_5_change_1h,pm2_5_change_24h,pm10_change_1h,pm10_change_24h
-0.08382392,-0.009525088,0.0025138205,-0.00043674032,-0.0012491606,-0.0023430465,0.0052156304,-0.003028817,-0.0073072035,-0.00039612097,0.006940321,0.015679374,-0.0019218965,-0.0019185615,0.0043217954,-0.00031107603,-4.7035774e-05,18.881414,0.023202054,0.0036409853,0.0024057573,0.056986064,-0.016486851,-0.0106182145,0.0029857268,-0.0024507341,0.020585261,-0.006299451,-0.01079901,0.0028543826,0.0058167367,-0.0057283803,-0.0011744865,-0.007850214,-0.0043633534,-0.013594145,-0.01954209,0.009791347,-0.090479694,0.025467902,0.003772751,-0.006510768,-0.0023010902,-0.00797595,-0.18864648,-0.84503794,-0.38998893,0.014919584,2.7517133,-0.1218963,0.008245065,0.03452702,0.002165293,0.009469472,10.830681,0.0035074153,0.0039036772,0.021168971,-0.0040114364,-0.010418886,-0.0045545814,0.002552459,-0.08733625,0.04212824,-0.04115176,-0.010153467,0.011223916,-0.14063625,0.0083525255,-0.044459477
0.0059750555,0.00023834477,0.0016799184,-0.00014343474,0.00077208504,-0.0005129552,-0.010122441,0.0013566661,-0.0055038026,-0.025878297,-0.0026281585,-0.29294944,-0.0020069128,-0.0012134565,0.0017620192,0.0031491756,8.4731306e-05,-18.876469,-0.10209431,-0.010113617,0.008610911,-0.050686203,-0.017795764,-0.0051807123,0.0009033592,-0.0039723613,0.014695703,0.023149312,0.00283155,-0.0066749635,2.837961e-05,0.0049880263,0.00765154,-0.0019606287,-0.015525001,-0.0044786334,-0.03715638,0.009866461,-0.08774344,0.026749536,0.016632862,-0.0011483416,0.0032023313,-0.00028089908,-0.29383022,-1.0839039,-0.48700133,-0.03172798,-2.5269299,-0.010622187,-0.019916426,-0.05033909,-0.0025665853,-0.01710751,-8.4786005,0.0018392326,-0.0039778,0.008899478,0.00034104352,0.010429108,-0.037686836,-0.0071163047,-0.31706357,-0.040420234,-0.08364361,-0.008149355,-0.010064285,0.47341427,0.0024309224,0.08881099
-0.024200294,0.0059221084,-0.0020032395,-0.00022369677,0.013252564,0.013546213,-0.021641936,-0.0068025156,-0.0065423213,-0.082055226,-0.011030545,-0.6744309,-0.0009811163,-0.0017083825,-0.0010847603,0.00027051443,0.00010519467,-17.1813,-0.08390302,-0.015627654,-0.011624122,-0.036396712,-0.01625567,-0.0011997423,-0.003525231,0.0076437546,0.0020303992,0.0049844356,-0.00056207454,0.0076597375,0.005475526,0.0014099309,0.008208604,-0.0046846145,0.022724569,0.0065900846,-0.1010737,0.0107388515,0.054427665,-0.008964558,-0.0054165097,-0.0024313717,-0.034214627,-0.00040416032,-0.40887064,-1.5948071,0.15517771,-0.048465583,-2.18084,-0.048024386,-0.012957601,-0.025017524,-0.0035197665,0.0046060244,-4.4287825,-0.0029098701,0.008176389,0.012392371,-0.064949594,-0.0017281,-0.06474044,-0.0008628762,1.0929008,0.0005333103,-0.024451684,0.012647907,-0.04402674,0.8138227,-0.06997099,0.17382304
-0.061486967,0.008536433,-0.0035520517,-9.967049e-05,0.0029852842,0.004632899,-0.0029408142,0.010022511,-0.0021599187,0.024592603,-0.003499045,0.035505023,-0.0027371675,0.0005144785,-0.005901848,-6.5635206e-05,6.921527e-05,-19.110811,-0.11198364,0.0037861923,0.002251192,-0.08039474,-0.027206782,0.0091819875,0.01108446,-0.0023931551,0.008685513,0.013976441,0.0018531282,-0.009175905,-0.025000544,0.0033110161,0.0075671677,0.0053169713,-0.0017074014,-0.015714118,-0.023471933,0.007682307,-0.12828115,0.014148034,-0.00025178463,0.0026872037,-0.0044038515,-0.0028367739,-0.16521053,-1.2703931,-0.65788865,0.012246865,-2.5190225,0.013529301,-0.016385572,0.014253654,-0.0017763171,-0.02640631,-7.6777043,0.0011874778,-0.009114793,0.010787813,0.007358772,0.006895121,-0.038142923,0.011608457,-0.523497,-0.06204239,-0.0719969,0.019769605,-0.017321387,-0.25819483,-0.008783479,-0.13865651
-0.01308263,-0.029545682,0.0031121152,-0.00074603717,-0.004440253,-0.00072429294,-0.013659002,-0.007040797,-0.0062836446,0.021832466,-0.006329182,0.3881014,-0.010827652,-0.0017086266,-0.008576891,1.5717038e-05,-0.0033315066,23.87682,0.00032833248,0.00029717176,-0.002660435,-0.029955102,0.017700799,-0.003945905,-0.006279497,0.006900974,0.025179837,0.012424131,0.012141543,0.005314445,0.0015852439,0.0031707415,-0.0012403447,-0.006117929,-0.032704204,-0.014583558,-0.01535236,-0.033224795,-0.24706662,0.037430372,-0.0013471958,-0.005729261,-0.0006039228,0.009040475,0.53645813,-1.033316,-0.83798265,0.035473607,3.2948267,-0.020900518,0.00026859812,0.018588824,0.0021988451,0.007985392,11.910577,0.004555109,0.0025748578,0.013439971,0.0012933577,0.0034209182,-0.006833448,0.0047566146,0.9398986,0.12903452,-0.12765391,0.08892006,-0.01095721,0.4918467,-3.743251e-05,0.13179077
0.023140717,0.010100337,0.046863142,-0.00024017612,-0.005108794,0.010582826,-0.07852701,-0.028973859,-0.029427722,-0.2489572,-0.014145686,0.20017768,-0.016523005,0.00959575,-0.0013082594,0.034678426,0.0075763357,10.701069,-0.06702868,0.012399863,-0.114540644,-0.010607578,-0.011274326,0.020029504,-0.026254263,-0.004093994,-0.030009946,-0.015792444,-0.012977195,0.009327348,0.0059611453,0.014814826,-0.016226957,-0.06493858,0.015448171,-0.026897866,-0.100109644,-0.13126546,0.22416763,0.067458905,-0.012566867,0.0010058907,0.017216118,0.016991563,1.3853081,0.72748435,0.69453704,-0.096669964,2.7074337,-0.15830939,-0.00922435,-0.11034021,0.03936213,0.02899787,-9.177669,0.0028061988,-0.0040846826,-0.059901286,0.009186901,-0.0021790476,-0.054879665,-0.07456031,-9.014449,0.1829949,0.7650129,0.06926363,-0.076925494,0.5164645,0.04639006,0.31539732
0.010836452,-0.0128216855,-0.004004029,3.075329e-05,-0.0016798496,8.01921e-05,-0.017663142,-0.006170532,-0.0035793418,-0.027057756,-0.008545677,-0.2441754,-0.0006644124,-0.0017543631,-0.015038232,0.00042164858,9.177257e-05,-9.709643,-0.08537599,0.00351356,0.01831828,-0.09329415,-0.010753999,-0.005240332,-0.0008078959,0.0036329902,0.022606071,-0.004917959,-0.003282395,0.0024101224,-0.00063318684,0.00163276,-0.00010452855,-0.003178308,-0.0042886636,-0.0076346705,-0.037566397,-0.0047982144,-0.06666304,-4.8123497e-05,-0.0037140704,-0.0023190505,0.00070473127,0.0056008776,-0.25659674,-1.2606628,-0.17741403,-0.03465108,-1.2055722,-0.057415698,0.016823139,0.004751423,-0.004152167,0.009078128,-2.8994176,-0.005285405,0.003597293,0.025242863,0.0018572069,-0.00409879,-0.004916278,-0.018427713,-0.063122116,0.04031718,-0.06913974,-0.001163177,-0.0170167,0.56536645,-0.005972591,0.19533038
-0.008489002,0.012808353,0.031015672,-0.00021019347,-0.00915479,0.0046371813,-0.058983006,-0.0039029142,0.0050771986,0.097062014,-0.053453717,0.07492354,0.11761659,0.011970499,0.016284166,-0.011252184,0.0019366413,4.1845703,-0.012352664,0.011821608,-0.006438433,0.25255495,0.02096775,0.017508212,0.0043728095,-0.013518316,0.019524304,0.017755061,0.009252563,0.009539506,0.013790808,0.033074554,0.124931104,-0.06293374,0.15125658,0.06285766,0.12193532,0.1414117,0.15613733,0.21015361,-0.012502497,-0.05762784,-0.0022532986,0.008344944,0.38250488,8.885401,0.90551555,0.10122502,1.7754111,-0.0020988144,0.04011448,0.09472336,-0.007515988,-0.012458454,3.1531813,0.0036070386,-0.0045152083,0.016962606,-0.057205174,-0.050253186,-0.01823266,0.0053335656,12.154844,-0.1141637,-0.23829046,-0.0076195877,0.005518355,0.01905546,0.008900182,0.030674916
-0.031659305,-0.23404934,0.053171016,-0.019053943,-0.009214635,-0.022518108,-9.303904e-05,-0.007244146,0.045906752,0.084894426,-0.03712752,0.5759189,0.0065508024,-0.013056928,-0.0018134979,-0.0047354153,0.00044346647,14.39706,-0.068605,0.01660653,-0.0033962731,0.24305072,-0.073976345,0.075520806,-0.023883361,-0.0142240655,0.061783835,0.012722199,-0.0011578241,0.021660632,-0.020384626,-0.0004668631,0.0055138357,0.0064684195,-0.0026850014,0.03423437,0.51162446,0.10505148,0.22636975,0.070893824,-0.028680993,0.0064584073,0.012493919,0.0067701647,1.2924714,13.183024,1.143993,0.12009522,2.1136885,0.003274903,0.050830398,0.026248151,0.006396694,-0.006462768,1.3901058,0.012990558,0.013039194,0.01843216,-0.013015581,-0.038780205,-0.031466912,-0.01618384,14.665395,1.1488987,-0.12534752,-0.052781094,-0.018625068,0.11508222,0.016214363,0.046363913
-0.075656496,0.017070314,0.041775383,-0.0008274026,0.0052230093,-0.04109009,0.05389309,0.033734538,-0.014983922,-0.074707486,-0.01600216,-0.46491423,-0.012914065,-0.0030904738,-0.0037941227,0.0018387175,0.00044867894,8.543691,0.03327666,0.0385848,-0.05836405,0.052875195,-0.013465704,0.030719468,0.08447939,0.0013302893,0.039078087,0.018217841,0.03750323,0.02608381,0.020784868,-5.125249e-05,0.00047086872,-0.05887709,-0.08504699,-0.0045412704,-0.017604196,0.07250618,0.10831793,0.0031052432,-0.020132685,-0.014656477,0.009943745,0.0018598466,-0.6091307,-1.2925651,0.2699142,-0.035314247,1.9013976,0.07352664,-0.015315132,-0.052629977,0.01068619,0.03766432,3.2402105,0.03582063,0.06493734,0.090647675,0.014446102,-0.009740742,-0.07698303,0.023628848,-10.036797,-0.9399852,0.036480922,0.023982253,-0.027212825,0.9424882,0.016586713,0.24644217
-0.22721246,-0.03266982,0.05314699,-0.00066780165,-0.0001300821,-0.03724146,0.064086206,0.00037520623,0.0012000588,-0.07201558,-0.0041079875,-0.38729972,-0.008009351,0.006713035,-0.025783846,-0.0019827345,0.00015535424,6.894452,0.13730921,-0.018611291,-0.007724724,0.014520971,-0.01643882,0.03605508,0.00070902694,-0.0103982985,-0.030536924,-0.015641382,-0.025353843,0.014272718,0.006220817,-0.00044138607,-0.011164904,-0.015943833,-0.12483474,-0.018115135,-0.05143447,0.043706823,0.21396403,-0.10110641,0.00018783624,-0.005043386,-0.008398843,-0.011551378,-0.32838827,-1.1974581,0.12110051,-0.06384469,2.1854925,0.10243031,0.04121075,-0.012664197,0.0037420227,-0.0036553852,3.9044957,-0.0021669427,0.00081327814,0.02610447,0.0024590536,-0.02122287,-0.00788279,0.015335255,0.13817067,-0.4518976,-0.009486547,-0.0047105653,0.032397702,0.53939337,0.015853865,0.09624388
0.010446002,-0.0043740436,-0.0030789706,-0.00019294479,0.008917865,0.0015031052,0.025311068,0.0043924195,-1.9063416e-05,-0.016376087,0.02993166,-0.14818418,-0.0031011577,-0.0013481646,-0.016694061,0.00052699185,8.9249705e-05,27.823889,-0.000671655,0.0069930977,0.006229493,0.04353882,0.0140106315,0.031699374,-0.000106790685,0.006346257,0.020392513,-0.022529894,-0.007921434,0.008540001,0.003626557,-0.028620837,-0.0027156153,-0.00034054305,0.0005137581,-0.008113933,-0.024396952,0.006005873,-0.057113107,-0.0015828371,0.006596789,-0.008015758,0.002422293,-0.016115133,-0.25300056,-0.82247156,-0.37446794,-0.014283407,3.5176482,0.06459735,0.021186754,0.031008888,0.00537298,0.008409351,13.772446,0.0012661988,-0.005050441,0.058159593,0.004400897,0.00608643,0.00783237,-0.004969118,0.8235648,0.038042713,-0.07651001,0.0076442286,-0.013363528,0.20840357,0.0016184024,-0.16743544
0.002498218,0.006497351,-0.0026274754,-0.0010425906,-0.0019597255,0.0044676415,-0.015329356,-0.004851295,0.0058294428,0.02678408,-0.0010236063,-0.2793098,0.02709245,0.0012127764,-0.0017880057,0.0017304921,8.709528e-05,-18.93621,-0.11946803,0.0043078554,0.0014563026,-0.08369645,-0.010414257,-0.011877974,-0.011518034,-0.006422612,0.028727641,-0.0058922684,-0.008131258,-0.00054354157,0.00069961254,0.0031470996,0.093908355,-0.0046453057,-0.01758873,-0.010103803,-0.01379831,0.017667225,-0.077240996,-0.043128114,-0.006639179,0.0054920707,0.0017336176,0.0035047017,-0.3039213,-1.4076377,-0.33968768,-0.03903303,-2.5845745,-0.06379852,-0.013206169,0.012387093,-0.007415888,-0.00048748462,-9.540919,0.0029187799,0.002700885,-0.0042425944,-0.00012642126,0.0012278096,-0.013784447,-0.0046971957,-0.7791018,0.013614659,-0.09404133,-0.00013081887,0.007134839,-0.43917695,-0.033419814,0.14665534
0.009002099,-0.005672161,-0.012637494,-0.00020638174,-0.0043046884,0.00071121653,0.027621018,-0.0049570734,-0.010348664,-0.054247983,-0.000529689,-0.5095748,0.00015092466,-0.0006208456,0.0063244603,-0.0020819474,6.078624e-05,-12.505521,-0.071406946,0.0057613943,0.0024279894,-0.06340506,-0.0109140305,0.0010604202,-0.00088732375,0.0028059012,-0.058045663,-0.006083849,-0.012374465,-0.0016357637,-0.008665143,0.002507494,-0.0028903175,-0.003706559,-0.0049478905,-0.007831816,-0.07568875,-0.007908818,-0.06579954,0.003684034,0.0002869632,-0.0005803532,0.0041547837,0.0035923356,-0.3286013,-1.4914434,0.0741886,-0.034111805,-1.2245247,-0.054281622,0.0057485825,-0.016069766,-0.0015405243,0.0062789223,-1.2103502,0.002441878,-0.0005214526,0.0033022452,0.0041447035,-0.001066151,-0.015827013,0.0036534239,1.0935936,0.046484485,-0.032693334,0.00024986884,0.006000644,1.0699688,0.014949986,0.18177636
-0.02055864,-0.010388114,0.056896333,0.0020967443,0.069323085,-0.001985976,-0.012966691,-0.0013149336,0.009096357,0.09713372,-0.058758125,-0.031785294,-0.003551964,-0.0025165032,-0.003862991,-0.0060518244,-0.0039891093,23.772516,-0.07449632,0.008326187,-0.0032526522,0.033545732,0.0025224471,-0.00010643966,-0.0663645,-0.005734516,0.0065287245,-0.0046410603,-0.019679112,0.013342382,6.2783365e-06,0.01636482,-0.019897064,-0.030876867,0.013292033,0.08530937,0.050811816,-0.0896713,0.19062662,0.091019906,-0.0023965233,0.002337086,-0.008420727,0.013230517,-0.26838458,2.2228916,0.7910697,0.0023953845,2.136991,-0.009039141,0.020302733,0.024192167,-0.008294862,-0.010612552,2.8920758,0.006212585,0.0028001317,0.035122655,-0.007053548,-0.019022264,0.0016518459,0.0009775033,0.6315808,0.11845504,-0.25851107,-0.024115449,0.017087238,-0.06995427,-0.02274935,-0.078499705
-0.0028423548,-0.032080274,0.009979561,-0.00018717546,-0.008018982,0.0062956885,-0.0133701,0.0014934831,-0.0368679,-0.048017,-0.010411094,-0.5251303,0.0060605756,-0.002722521,0.0062626656,-0.007081869,0.00024806708,-5.835661,-0.08784011,-0.0020329189,0.042721305,-0.035718724,-0.016741604,-0.029812487,-0.04598264,-0.004233492,0.030331926,-0.020296117,0.0021510818,0.0013746535,0.009014449,-0.007702706,-0.008279177,-0.0134009365,0.02573345,-0.020954963,-0.05585685,0.02983703,0.08904486,-0.10371876,-0.0075447853,0.0012061843,-0.0026051179,-0.009686584,-0.6912292,-1.6504761,0.2904412,-0.06992949,-1.3859715,-0.09400791,-0.0029910642,0.033316743,-0.023678653,-0.032114405,-11.216463,0.007588082,-0.0043792846,0.04340838,-0.037411574,-0.030366642,-0.1004943,-0.003994394,-7.4806075,-0.35659403,-0.06160921,0.008263101,0.018819582,-0.8454395,0.024743438,-0.07958811
