timestamp,predicted_aqi,future_us_aqi
2026-08-01 23:00:00+00:00,146.17633056640625,149
2026-08-02 00:00:00+00:00,141.85568237304688,147
2026-08-02 01:00:00+00:00,137.9180908203125,145
2026-08-02 02:00:00+00:00,136.75482177734375,144
2026-08-02 03:00:00+00:00,138.68641662597656,142
2026-08-02 04:00:00+00:00,140.5375213623047,142
2026-08-02 05:00:00+00:00,140.2657470703125,141
2026-08-02 06:00:00+00:00,138.26058959960938,140
2026-08-02 07:00:00+00:00,136.77352905273438,139
2026-08-02 08:00:00+00:00,136.98574829101562,139
2026-08-02 09:00:00+00:00,137.41845703125,138
2026-08-02 10:00:00+00:00,144.31687927246094,138
2026-08-02 11:00:00+00:00,151.0110321044922,138
2026-08-02 12:00:00+00:00,156.08750915527344,152
2026-08-02 13:00:00+00:00,154.29383850097656,157
2026-08-02 14:00:00+00:00,142.63372802734375,154
2026-08-02 15:00:00+00:00,128.17149353027344,139
2026-08-02 16:00:00+00:00,124.73562622070312,133
2026-08-02 17:00:00+00:00,124.97789001464844,131
2026-08-02 18:00:00+00:00,125.47823333740234,129
2026-08-02 19:00:00+00:00,123.94723510742188,127
2026-08-02 20:00:00+00:00,120.98844909667969,125
2026-08-02 21:00:00+00:00,118.17399597167969,123
2026-08-02 22:00:00+00:00,115.65481567382812,122
2026-08-02 23:00:00+00:00,113.83468627929688,119
2026-08-03 00:00:00+00:00,112.36613464355469,117
2026-08-03 01:00:00+00:00,110.43842315673828,115
2026-08-03 02:00:00+00:00,107.23648071289062,113
2026-08-03 03:00:00+00:00,106.61121368408203,111
2026-08-03 04:00:00+00:00,107.52445220947266,109
2026-08-03 05:00:00+00:00,109.4912338256836,108
2026-08-03 06:00:00+00:00,110.65306091308594,109
2026-08-03 07:00:00+00:00,112.93929290771484,110
2026-08-03 08:00:00+00:00,114.76900482177734,112
2026-08-03 09:00:00+00:00,131.5862274169922,113
2026-08-03 10:00:00+00:00,161.9599609375,132
2026-08-03 11:00:00+00:00,172.3170623779297,153
2026-08-03 12:00:00+00:00,169.73953247070312,165
2026-08-03 13:00:00+00:00,154.6270751953125,163
2026-08-03 14:00:00+00:00,128.92039489746094,152
2026-08-03 15:00:00+00:00,128.44073486328125,128
2026-08-03 16:00:00+00:00,133.99229431152344,132
2026-08-03 17:00:00+00:00,140.40689086914062,135
2026-08-03 18:00:00+00:00,146.07005310058594,139
2026-08-03 19:00:00+00:00,148.8787384033203,142
2026-08-03 20:00:00+00:00,149.29440307617188,145
2026-08-03 21:00:00+00:00,148.7642822265625,147
2026-08-03 22:00:00+00:00,146.81524658203125,148
2026-08-03 23:00:00+00:00,145.01898193359375,148
2026-08-04 00:00:00+00:00,148.16600036621094,148
2026-08-04 01:00:00+00:00,151.15318298339844,150
2026-08-04 02:00:00+00:00,151.62718200683594,151
2026-08-04 03:00:00+00:00,151.5043487548828,151
2026-08-04 04:00:00+00:00,150.72113037109375,151
2026-08-04 05:00:00+00:00,151.75401306152344,151
2026-08-04 06:00:00+00:00,152.03079223632812,152
2026-08-04 07:00:00+00:00,152.05133056640625,152
2026-08-04 08:00:00+00:00,152.0522003173828,152
2026-08-04 09:00:00+00:00,151.35604858398438,152
2026-08-04 10:00:00+00:00,152.11488342285156,152
2026-08-04 11:00:00+00:00,153.9903564453125,152
2026-08-04 12:00:00+00:00,156.0598907470703,152
2026-08-04 13:00:00+00:00,154.8204345703125,153
2026-08-04 14:00:00+00:00,150.04336547851562,153
2026-08-04 15:00:00+00:00,147.7998504638672,152
2026-08-04 16:00:00+00:00,147.8538360595703,152
2026-08-04 17:00:00+00:00,149.21942138671875,152
2026-08-04 18:00:00+00:00,150.38539123535156,152
2026-08-04 19:00:00+00:00,151.74386596679688,152
2026-08-04 20:00:00+00:00,152.54051208496094,152
2026-08-04 21:00:00+00:00,153.0480194091797,153
2026-08-04 22:00:00+00:00,155.543212890625,153
