day,lead_hours,xgb_rmse,xgb_mae,xgb_r2,persistence_rmse,persistence_mae,persistence_r2,rmse_improvement_percent,mae_improvement_percent
1,1-24,6.600818847183082,3.0511078334384494,0.9506621638117917,20.545940393826385,11.928888888888888,0.5219905107911739,67.87288038095114,74.42253120254654
2,25-48,6.60642539319155,3.060474661509196,0.9506249499552353,27.068374330367327,19.576444444444444,0.17110632322536212,75.59356423640126,84.36654485346178
3,49-72,6.617082156358596,3.067846544265747,0.9505576321107899,29.342650982259027,21.584722222222222,0.027779209507948543,77.44892865897026,85.7869537875855
